Irms,Power_Factor,Phase_Angle,P_norm,Crest_Factor,I_THD,I_H3_ratio,I_H5_ratio,I_H7_ratio,I_H9_ratio,I_fundamental,Harmonic_Energy,ZCR,I_peak_to_peak,Form_Factor,Power_fluctuation,Std_I,Skew_I,Kurt_I,I_norm,Peak_Factor,Harmonic_Dominance,Waveform_Energy,Label
0.2327487291094508,0.774123377347893,0.6854672006403061,0.0007459690587302943,3.1719964680781123,0.03867163966348848,0.02943941519760101,0.02345622548373507,0.006951211368540386,0.005504788247699167,196.5286454770926,0.00019677355111686506,0.1470735367683842,1.3054945054945089,1.170480662127545,43.89185769800826,0.2327487291094508,0.010683216167649515,-0.8549800221859196,0.0009636307047208128,3.712776478019507,0.02943941519760101,108.34394180412903,LED 50W
0.2359789293756667,0.7743574095493921,0.685097418203061,0.0007567307926847431,3.14117792566549,0.027414325104067216,0.01508714165529915,0.006939405104756656,0.016993410134613685,0.013674503514691617,249.17149901958743,0.00011002191302742155,0.16008004002001,1.281318681318686,1.1754093751189918,43.773760653787335,0.2359789293756667,0.015392436271581975,-0.8508968197748188,0.0009772371003775818,3.692185628929034,0.016993410134613685,111.37211021857178,LED 50W
0.23792488435753387,0.7925633136427224,0.6557951349620609,0.0007798529489015512,2.2872068575269258,0.07388839040944117,0.029880377063167644,0.06511724844789127,0.010412140100627092,0.014764436899571827,184.90083140951847,0.000399610912761026,0.15407703851925963,1.0637362637362546,1.1568820164212037,42.91585537701019,0.2379248843575339,0.04814090907631447,-1.023636594093671,0.00098396296203192,2.6460396025848905,0.06511724844789127,113.21650119309173,LED 50W
0.2333345144158459,0.7832613753817035,0.6709017464254903,0.0007550599416635727,2.321220060645377,0.06512886716679857,0.041262690637528326,0.01591715037818539,0.005423503660788315,0.047501469784226404,192.72672989015646,0.0003379337514105317,0.15807903951975988,1.0153846153846091,1.1620853805115265,43.02993024743989,0.23333451441584588,0.03756716328076729,-0.9722156561948894,0.0009639948582796597,2.69746745789283,0.047501469784226404,108.8899912353572,LED 50W
0.23648751047527936,0.7854403201744046,0.6673891074355949,0.0007686044036004845,2.3102579040792546,0.03676064250801246,0.01494796795572057,0.008484686242439173,0.029942326823463858,0.01262419325584348,234.3701654877348,0.00015684864272149691,0.16708354177088544,1.087912087912084,1.157905043664741,43.27443883959718,0.23648751047527933,0.06676332746202808,-0.9733340714683401,0.0009785649917520907,2.675070590929961,0.029942326823463858,111.85268522159072,LED 50W
0.23639107744113463,0.7765060173593148,0.6816946520188156,0.0007589763279860662,2.389692589190379,0.04140234845284916,0.013030245929872357,0.010265808376910098,0.00865664006673891,0.03693295154116009,277.86576886437183,0.00014900125507743515,0.15307653826913456,1.0637362637362613,1.1662870259113125,43.5020003153778,0.23639107744113463,0.054123242095866345,-0.9542455766565423,0.0009774249109387638,2.7870792527596255,0.03693295154116009,111.76148298756102,LED 50W
0.23742332263521024,0.7785605541472596,0.6784274678963602,0.0007642841851373627,3.105979861920893,0.07884417294115692,0.0027326952614070087,0.0177711002451723,0.03495255672054695,0.06834795357694574,207.58073963784747,0.00037982412385121597,0.16708354177088544,1.3054945054945089,1.1705853749664215,44.731659018281064,0.23742332263521024,0.0038322053729024355,-0.869416503825402,0.0009816631190973735,3.6358299149419193,0.06834795357694574,112.73966826228627,LED 50W
0.23216310655165281,0.7684479753536009,0.6943840908296169,0.0007377100435029409,3.1777588250808977,0.05193298618474489,0.012428042097238303,0.023908021052103826,0.0221638005565551,0.03846753563663241,229.95089835847241,0.00022584380548034352,0.15607803901950976,1.3538461538461544,1.1704392443605554,42.98516234347584,0.23216310655165281,0.01076138739130197,-0.8247488608139175,0.0009599999793423219,3.7193896585075406,0.03846753563663241,107.7994160874282,LED 50W
0.2327196753136831,0.7696171619679915,0.6925549764179865,0.000740957293848227,2.522965151483609,0.029863053776108237,0.014276268043913588,0.017688432406309462,0.0021193899611473247,0.019251433629033275,248.49515439561955,0.0001201755975023514,0.15307653826913456,1.1362637362637296,1.1697084644177607,43.38634877723716,0.2327196753136831,0.09041604555845725,-0.8887047580724512,0.0009627608730824872,2.951146374187978,0.019251433629033275,108.31689455621218,LED 50W
0.23828341705240078,0.7906742656630825,0.6588867965506391,0.0007794752634427795,2.2891934253474724,0.05666684286081206,0.02532109387310906,0.028768739200988245,0.037010542700283616,0.019301623214050448,255.39675265986457,0.00022187769440593801,0.16008004002001,1.0153846153846091,1.1593217344172435,43.88310538977031,0.23828341705240078,0.04173055830793511,-0.9918151577746603,0.000985836132629855,2.653922829916849,0.037010542700283616,113.55797368433673,LED 50W
0.2353010748419144,0.7790235238716635,0.6776894112727254,0.0007582015124822826,2.30659781947051,0.05247811434362543,0.02881345916021922,0.010665252326667393,0.03733321538908233,0.02040148224531508,200.61974561001927,0.0002615800051110452,0.16708354177088544,1.0153846153846091,1.1640645304794641,43.55244512664034,0.2353010748419144,0.048434234248494946,-0.9323116553517834,0.000973271648577361,2.685040118761501,0.03733321538908233,110.73319164352041,LED 50W
0.23606255671641763,0.7946077311228537,0.6524351316136104,0.000775594383422197,2.3022808897075744,0.030179926081816376,0.006670796952840732,0.018771913178919353,0.012482026662046022,0.018924658314721492,240.58395063387664,0.00012544446907973531,0.16108054027013508,1.0153846153846091,1.154380699436931,42.56709202675879,0.23606255671641763,0.05090340319989208,-1.0133595005243596,0.0009760720288141941,2.6577198822538306,0.018924658314721492,111.45106136698377,LED 50W
0.23400498314914184,0.773134657031843,0.6870275862205193,0.0007483564277677365,2.4229961848207684,0.05752720843287839,0.04421785821777297,0.017749124475426543,0.02656533762819648,0.018259576713837163,203.62596396195963,0.00028251411082877046,0.15507753876938468,1.1120879120879068,1.1725134402325967,43.536893642450195,0.23400498314914184,0.06606779423755992,-0.8797368605935469,0.0009679509486200362,2.8410077330829173,0.04421785821777297,109.51666427726032,LED 50W
0.23702587094993854,0.7810220642368826,0.6744955772223464,0.0007651315973875635,2.5766263035158303,0.04555079822863306,0.013776878119498934,0.007129636868813599,0.02107894713284374,0.03728161898892998,268.0514412323119,0.0001699330466170579,0.16008004002001,1.1846153846153817,1.1684354045272385,43.74503204996902,0.23702587094993854,0.02839817780497328,-0.9129493379621523,0.0009796542623745864,3.0106340989213978,0.03728161898892998,112.36252699915383,LED 50W
0.23678224295932174,0.778823450704563,0.6780084467059522,0.0007620080957142934,2.5002511791735302,0.04245934363887136,0.013376780365953462,0.019250747970658382,0.010281789527177194,0.033875523847961816,263.28477449828523,0.00016126775108250762,0.1660830415207604,1.1362637362637296,1.1638392718209565,43.78850196812074,0.2367822429593217,0.06012005406522559,-0.9394852605037975,0.0009784092811910775,2.909902801049339,0.033875523847961816,112.13166116169452,LED 50W
0.23579763913658708,0.7884301985333684,0.662543526903561,0.0007676074786776433,2.5102811504268874,0.03711652875114,0.006772462306506773,0.03325468634642561,0.013558057746303693,0.006486552781708917,194.56198371848387,0.00019076968609692559,0.15607803901950976,1.1362637362637296,1.1591655601996318,42.64312220095348,0.23579763913658708,0.05183718429337421,-0.9708420469314278,0.0009735896430010377,2.9098437963688584,0.03325468634642561,111.20105324477629,LED 50W
0.2337879621034611,0.7934093905911943,0.6544063912870187,0.0007664972811183428,2.3124781566574257,0.024880203348801963,0.006417901496540179,0.0023355686252552843,0.023566696772700697,0.004122011824187968,271.2332561400114,9.172991399044671e-05,0.16408204102051024,1.0395604395604319,1.1614948518811476,42.71874363856585,0.23378796210346106,0.060720923831221255,-0.9615468417864457,0.0009660804208441477,2.685942962795311,0.023566696772700697,109.31362244897872,LED 50W
0.2316993353381388,0.7809402064541774,0.6746266430749802,0.0007465054178216231,2.3496008148145684,0.054319305349621885,0.036162915064330656,0.0213762268613541,0.023243158895440767,0.025409506044956558,231.1461299168717,0.00023499984678158867,0.16208104052026012,1.087912087912084,1.1616534379948964,42.614822075413116,0.23169933533813883,0.07742040244199144,-0.9735992225652454,0.0009559059817703539,2.729433644460897,0.036162915064330656,107.36916399227059,LED 50W
0.2335640596680114,0.7813971427464214,0.6738947486502704,0.0007536101585676787,2.3101406204980526,0.04156694302102463,0.012992078213616243,0.029729989913958452,0.012269475925568384,0.022904242315174118,242.8306071344763,0.00017117670354803633,0.16508254127063532,1.0153846153846091,1.1670159870744672,43.5083554234467,0.2335640596680114,0.05932249727898183,-0.945599211191225,0.0009644393538731699,2.6959825792591596,0.029729989913958452,109.10433993720477,LED 50W
0.2333684368451337,0.7716887854204345,0.6893041141788527,0.0007448982642722938,2.622498461172204,0.06392947050969593,0.0281201829729713,0.007129480272671704,0.03391028919411448,0.04577658033350465,229.21905654187964,0.00027890120130179686,0.1570785392696348,1.1604395604395523,1.1800828434081478,43.56991411554448,0.23336843684513367,0.036665438472329274,-0.8508720113287644,0.0009652832531420977,3.0947787021789726,0.04577658033350465,108.9216546310823,LED 50W
